epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,102.726,1.52837,1.33298,1.40435,0.72939,0.65778,0.68451,0.35605,1.65394,1.2973,1.54216,0.0015248,0.0015248,0.0015248
14,111.026,1.48767,1.30067,1.37299,0.74692,0.63556,0.66685,0.36125,1.61081,1.25681,1.47578,0.0014852,0.0014852,0.0014852
15,119.047,1.47073,1.30719,1.37392,0.76372,0.67519,0.68437,0.37014,1.60798,1.27727,1.4841,0.0014456,0.0014456,0.0014456
16,127.108,1.4364,1.2295,1.36821,0.79292,0.65333,0.69126,0.37539,1.64221,1.23866,1.55002,0.001406,0.001406,0.001406
17,134.479,1.46637,1.1844,1.36796,0.69587,0.67556,0.65825,0.34951,1.63812,1.2294,1.46846,0.0013664,0.0013664,0.0013664
18,141.71,1.39101,1.15546,1.32605,0.82714,0.69333,0.7388,0.39491,1.64107,1.12717,1.49507,0.0013268,0.0013268,0.0013268
19,149.003,1.41178,1.13274,1.33565,0.82757,0.62667,0.71231,0.38539,1.54298,1.17964,1.44552,0.0012872,0.0012872,0.0012872
20,156.309,1.41106,1.07267,1.3051,0.86484,0.63556,0.71733,0.39657,1.60005,1.2367,1.48342,0.0012476,0.0012476,0.0012476
21,163.887,1.37209,1.09858,1.31166,0.78358,0.69333,0.73746,0.41882,1.51542,1.13008,1.43291,0.001208,0.001208,0.001208
22,172.052,1.3803,1.0695,1.32376,0.83925,0.61333,0.72477,0.39933,1.57106,1.09662,1.49897,0.0011684,0.0011684,0.0011684
23,179.9,1.37653,1.05246,1.29543,0.80211,0.68454,0.71963,0.40074,1.5737,1.12384,1.42339,0.0011288,0.0011288,0.0011288
24,187.924,1.32858,1.04041,1.29289,0.79398,0.70222,0.74198,0.39432,1.61263,1.13021,1.48088,0.0010892,0.0010892,0.0010892
25,195.91,1.32314,1.00032,1.26937,0.82366,0.70585,0.74291,0.41161,1.52764,1.04998,1.43631,0.0010496,0.0010496,0.0010496
26,204.023,1.3087,0.99019,1.24615,0.82972,0.65778,0.71514,0.39562,1.55258,1.07661,1.46101,0.00101,0.00101,0.00101
27,211.978,1.35599,0.99129,1.28165,0.78773,0.66667,0.73806,0.40781,1.56195,1.07504,1.45235,0.0009704,0.0009704,0.0009704
28,219.946,1.31569,0.97498,1.25259,0.81281,0.68,0.73594,0.40178,1.58357,1.06067,1.45285,0.0009308,0.0009308,0.0009308
29,227.861,1.26223,0.93048,1.22815,0.82419,0.65778,0.73965,0.41324,1.55766,1.00486,1.45194,0.0008912,0.0008912,0.0008912
30,235.823,1.27292,0.94527,1.24542,0.82177,0.69778,0.76069,0.43001,1.51581,0.97954,1.40231,0.0008516,0.0008516,0.0008516
31,243.779,1.25429,0.91179,1.22454,0.78311,0.72212,0.76618,0.4232,1.56995,0.97713,1.43803,0.000812,0.000812,0.000812
32,251.715,1.28308,0.93652,1.25375,0.82686,0.64,0.73426,0.42378,1.52485,1.04257,1.42692,0.0007724,0.0007724,0.0007724
33,259.234,1.24935,0.87569,1.23679,0.83243,0.68,0.77191,0.43896,1.55916,0.95734,1.47685,0.0007328,0.0007328,0.0007328
34,266.592,1.22373,0.87264,1.22165,0.80424,0.69386,0.75669,0.42401,1.54733,1.00974,1.42705,0.0006932,0.0006932,0.0006932
35,274.174,1.23966,0.86177,1.22999,0.78868,0.73333,0.75601,0.42919,1.50837,0.99516,1.41939,0.0006536,0.0006536,0.0006536
36,282.264,1.23794,0.89224,1.20902,0.72512,0.72889,0.75303,0.43024,1.51507,1.03517,1.42384,0.000614,0.000614,0.000614
37,290.253,1.22186,0.85242,1.21249,0.79112,0.70667,0.75543,0.41736,1.54556,0.96457,1.44359,0.0005744,0.0005744,0.0005744
38,297.701,1.19321,0.82848,1.20298,0.83857,0.64647,0.7451,0.42982,1.54318,1.00304,1.42675,0.0005348,0.0005348,0.0005348
39,304.937,1.1808,0.81059,1.19111,0.84207,0.69778,0.76926,0.43705,1.52812,0.97326,1.41795,0.0004952,0.0004952,0.0004952
40,312.275,1.16238,0.80969,1.18163,0.83227,0.67556,0.78224,0.44339,1.51515,0.98095,1.40852,0.0004556,0.0004556,0.0004556
41,342.743,1.18613,0.8331,1.20454,0.83177,0.68889,0.76505,0.42689,1.52616,0.94962,1.44822,0.000416,0.000416,0.000416
42,350.639,1.18388,0.76836,1.20614,0.8035,0.69059,0.77519,0.44681,1.47639,0.93671,1.38905,0.0003764,0.0003764,0.0003764
43,358.411,1.15,0.74287,1.19889,0.80172,0.69778,0.77249,0.43544,1.51579,0.94011,1.4095,0.0003368,0.0003368,0.0003368
44,365.644,1.12007,0.70866,1.16186,0.78746,0.71556,0.77015,0.43452,1.50867,0.94595,1.4181,0.0002972,0.0002972,0.0002972
45,372.79,1.11675,0.71284,1.14358,0.80569,0.71556,0.76811,0.44618,1.49881,0.91606,1.39986,0.0002576,0.0002576,0.0002576
46,379.906,1.09431,0.66997,1.13734,0.81317,0.70222,0.76542,0.43819,1.52209,0.93636,1.4145,0.000218,0.000218,0.000218
47,387.052,1.09623,0.6838,1.15476,0.84847,0.67192,0.76802,0.43543,1.52724,0.93506,1.43069,0.0001784,0.0001784,0.0001784
48,394.258,1.07148,0.66521,1.12703,0.80121,0.71556,0.76887,0.43757,1.53034,0.92898,1.44331,0.0001388,0.0001388,0.0001388
49,401.379,1.07148,0.65398,1.1294,0.79196,0.71061,0.77497,0.44713,1.52328,0.91456,1.43298,9.92e-05,9.92e-05,9.92e-05
50,408.53,1.05275,0.63661,1.13838,0.79555,0.71111,0.7779,0.448,1.52175,0.91824,1.42864,5.96e-05,5.96e-05,5.96e-05
