epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.014,1.74976,2.59172,1.55535,0.9615,0.11099,0.4287,0.20073,1.74047,3.05748,1.56019,0.00064,0.00064,0.00064
2,18.4372,1.70185,2.14858,1.50721,0.20673,0.11111,0.10761,0.04562,1.87278,3.10635,1.80115,0.00127426,0.00127426,0.00127426
3,25.8344,1.69924,2.01015,1.53886,0.04887,0.07556,0.02377,0.00656,2.21447,3.58092,2.77599,0.00188238,0.00188238,0.00188238
4,33.1481,1.71182,1.85334,1.51569,0.35945,0.45333,0.2734,0.11899,1.95086,2.99458,1.77507,0.0018812,0.0018812,0.0018812
5,40.2834,1.71024,1.77689,1.51711,0.52834,0.41333,0.39925,0.18082,1.97502,2.08806,1.85846,0.0018416,0.0018416,0.0018416
6,47.4459,1.69718,1.68548,1.50804,0.60867,0.45333,0.47882,0.21605,1.9548,2.30732,1.90065,0.001802,0.001802,0.001802
7,55.3153,1.65947,1.65372,1.5255,0.59415,0.56889,0.56827,0.28526,1.73142,1.68729,1.67172,0.0017624,0.0017624,0.0017624
8,63.2675,1.58843,1.52512,1.4722,0.57844,0.51556,0.50584,0.25244,1.82186,1.73944,1.734,0.0017228,0.0017228,0.0017228
9,70.9887,1.58005,1.46547,1.42489,0.70633,0.6,0.59101,0.27907,1.7261,1.67938,1.61022,0.0016832,0.0016832,0.0016832
10,78.6305,1.56525,1.43942,1.4302,0.70184,0.63817,0.61862,0.32417,1.70367,1.39978,1.56597,0.0016436,0.0016436,0.0016436
11,86.6466,1.55135,1.41609,1.44143,0.73797,0.60889,0.63988,0.31804,1.70055,1.48414,1.61165,0.001604,0.001604,0.001604
12,94.7093,1.5474,1.37149,1.42992,0.54977,0.50667,0.46595,0.21961,1.82077,1.88021,1.64639,0.0015644,0.0015644,0.0015644
